           0.000000   206.57      0.23924      4.06122-321   205.88     -0.10634      4.06122-321   206.54     -0.43290      4.06122-321
           0.025233   412.93       7.4493       0.0000       412.10       6.9991       0.0000       412.84       6.8433       0.0000    
           0.025233   412.93       7.4493       0.0000       412.10       6.9991       0.0000       412.84       6.8433       0.0000    
           0.025468   412.93       7.5171       0.0000       412.10       7.0662       0.0000       412.83       6.9122       0.0000    
           0.025998   412.93       7.6702       0.0000       412.10       7.2177       0.0000       412.83       7.0679       0.0000    
           0.025998   412.93       7.6702       0.0000       412.10       7.2177       0.0000       412.83       7.0679       0.0000    
           0.026361   412.93       7.7748       0.0000       412.10       7.3213       0.0000       412.83       7.1743       0.0000    
           0.026754   412.93       7.8883       0.0000       412.09       7.4336       0.0000       412.83       7.2898       0.0000    
           0.026754   412.93       7.8883       0.0000       412.09       7.4336       0.0000       412.83       7.2898       0.0000    
           0.026833   412.93       7.9109       0.0000       412.09       7.4561       0.0000       412.83       7.3129       0.0000    
           0.027099   412.93       7.9875       0.0000       412.09       7.5320       0.0000       412.83       7.3909       0.0000    
           0.027099   412.93       7.9875       0.0000       412.09       7.5320       0.0000       412.83       7.3909       0.0000    
           0.027489   412.93       8.1001       0.0000       412.09       7.6435       0.0000       412.82       7.5055       0.0000    
           0.028039   412.93       8.2586       0.0000       412.09       7.8005       0.0000       412.82       7.6670       0.0000    
           0.028039   412.93       8.2586       0.0000       412.09       7.8005       0.0000       412.82       7.6670       0.0000    
           0.028070   412.93       8.2675       0.0000       412.09       7.8092       0.0000       412.82       7.6760       0.0000    
           0.028307   412.93       8.3360       0.0000       412.08       7.8771       0.0000       412.82       7.7458       0.0000    
           0.028307   412.93       8.3360       0.0000       412.08       7.8771       0.0000       412.82       7.7458       0.0000    
           0.028690   412.92       8.4464       0.0000       412.08       7.9865       0.0000       412.82       7.8583       0.0000    
           0.029288   412.92       8.6187       0.0000       412.08       8.1572       0.0000       412.81       8.0339       0.0000    
           0.029288   412.92       8.6187       0.0000       412.08       8.1572       0.0000       412.81       8.0339       0.0000    
           0.029449   412.92       8.6651       0.0000       412.08       8.2033       0.0000       412.81       8.0812       0.0000    
           0.029695   412.92       8.7358       0.0000       412.08       8.2733       0.0000       412.81       8.1533       0.0000    
           0.029695   412.92       8.7358       0.0000       412.08       8.2733       0.0000       412.81       8.1533       0.0000    
           0.029892   412.92       8.7927       0.0000       412.08       8.3297       0.0000       412.81       8.2113       0.0000    
           0.030359   412.92       8.9272       0.0000       412.07       8.4631       0.0000       412.81       8.3486       0.0000    
           0.030359   412.92       8.9272       0.0000       412.07       8.4631       0.0000       412.81       8.3486       0.0000    
           0.030603   412.92       8.9975       0.0000       412.07       8.5328       0.0000       412.81       8.4203       0.0000    
           0.031034   412.92       9.1216       0.0000       412.07       8.6559       0.0000       412.80       8.5470       0.0000    
           0.031034   412.92       9.1216       0.0000       412.07       8.6559       0.0000       412.80       8.5470       0.0000    
           0.031126   412.92       9.1479       0.0000       412.07       8.6819       0.0000       412.80       8.5738       0.0000    
           0.031510   412.92       9.2586       0.0000       412.06       8.7917       0.0000       412.80       8.6868       0.0000    
           0.031510   412.92       9.2586       0.0000       412.06       8.7917       0.0000       412.80       8.6868       0.0000    
           0.031687   412.92       9.3097       0.0000       412.06       8.8424       0.0000       412.80       8.7390       0.0000    
           0.032225   412.91       9.4643       0.0000       412.06       8.9958       0.0000       412.80       8.8969       0.0000    
           0.032225   412.91       9.4643       0.0000       412.06       8.9958       0.0000       412.80       8.8969       0.0000    
           0.032460   412.91       9.5321       0.0000       412.06       9.0631       0.0000       412.80       8.9661       0.0000    
           0.032911   412.91       9.6619       0.0000       412.06       9.1918       0.0000       412.79       9.0987       0.0000    
           0.032911   412.91       9.6619       0.0000       412.06       9.1918       0.0000       412.79       9.0987       0.0000    
           0.032987   412.91       9.6836       0.0000       412.06       9.2134       0.0000       412.79       9.1210       0.0000    
           0.033380   412.91       9.7966       0.0000       412.05       9.3256       0.0000       412.79       9.2365       0.0000    
           0.033380   412.91       9.7966       0.0000       412.05       9.3256       0.0000       412.79       9.2365       0.0000    
           0.033710   412.91       9.8918       0.0000       412.05       9.4201       0.0000       412.79       9.3338       0.0000    
           0.034263   412.91       10.051       0.0000       412.05       9.5779       0.0000       412.78       9.4964       0.0000    
           0.034263   412.91       10.051       0.0000       412.05       9.5779       0.0000       412.78       9.4964       0.0000    
           0.034517   412.90       10.124       0.0000       412.04       9.6503       0.0000       412.78       9.5710       0.0000    
           0.034814   412.90       10.209       0.0000       412.04       9.7353       0.0000       412.78       9.6586       0.0000    
           0.034814   412.90       10.209       0.0000       412.04       9.7353       0.0000       412.78       9.6586       0.0000    
           0.035224   412.90       10.327       0.0000       412.04       9.8524       0.0000       412.78       9.7792       0.0000    
           0.035224   412.90       10.327       0.0000       412.04       9.8524       0.0000       412.78       9.7792       0.0000    
           0.035581   412.90       10.430       0.0000       412.04       9.9544       0.0000       412.77       9.8843       0.0000    
           0.036174   412.90       10.600       0.0000       412.03       10.124       0.0000       412.77       10.059       0.0000    
           0.036174   412.90       10.600       0.0000       412.03       10.124       0.0000       412.77       10.059       0.0000    
           0.036362   412.90       10.654       0.0000       412.03       10.177       0.0000       412.77       10.114       0.0000    
           0.036633   412.90       10.732       0.0000       412.03       10.255       0.0000       412.77       10.194       0.0000    
           0.036633   412.90       10.732       0.0000       412.03       10.255       0.0000       412.77       10.194       0.0000    
           0.037030   412.89       10.846       0.0000       412.03       10.368       0.0000       412.76       10.311       0.0000    
           0.037471   412.89       10.973       0.0000       412.02       10.494       0.0000       412.76       10.441       0.0000    
           0.037471   412.89       10.973       0.0000       412.02       10.494       0.0000       412.76       10.441       0.0000    
           0.037665   412.89       11.028       0.0000       412.02       10.549       0.0000       412.76       10.498       0.0000    
           0.037896   412.89       11.095       0.0000       412.02       10.615       0.0000       412.76       10.566       0.0000    
           0.037896   412.89       11.095       0.0000       412.02       10.615       0.0000       412.76       10.566       0.0000    
           0.038292   412.89       11.209       0.0000       412.02       10.729       0.0000       412.75       10.683       0.0000    
           0.038727   412.88       11.334       0.0000       412.01       10.853       0.0000       412.75       10.811       0.0000    
           0.038727   412.88       11.334       0.0000       412.01       10.853       0.0000       412.75       10.811       0.0000    
           0.038913   412.88       11.387       0.0000       412.01       10.906       0.0000       412.75       10.865       0.0000    
           0.039144   412.88       11.453       0.0000       412.01       10.972       0.0000       412.75       10.934       0.0000    
           0.039144   412.88       11.453       0.0000       412.01       10.972       0.0000       412.75       10.934       0.0000    
           0.039437   412.88       11.537       0.0000       412.01       11.056       0.0000       412.75       11.020       0.0000    
           0.039880   412.88       11.664       0.0000       412.01       11.182       0.0000       412.74       11.151       0.0000    
           0.039880   412.88       11.664       0.0000       412.01       11.182       0.0000       412.74       11.151       0.0000    
           0.039939   412.88       11.681       0.0000       412.01       11.199       0.0000       412.74       11.168       0.0000    
           0.040275   412.88       11.778       0.0000       412.00       11.295       0.0000       412.74       11.267       0.0000    
           0.040275   412.88       11.778       0.0000       412.00       11.295       0.0000       412.74       11.267       0.0000    
           0.040444   412.88       11.826       0.0000       412.00       11.343       0.0000       412.74       11.317       0.0000    
           0.041014   412.87       11.990       0.0000       412.00       11.506       0.0000       412.73       11.485       0.0000    
           0.041014   412.87       11.990       0.0000       412.00       11.506       0.0000       412.73       11.485       0.0000    
           0.041285   412.87       12.068       0.0000       412.00       11.583       0.0000       412.73       11.565       0.0000    
           0.041744   412.87       12.199       0.0000       411.99       11.715       0.0000       412.73       11.700       0.0000    
           0.041744   412.87       12.199       0.0000       411.99       11.715       0.0000       412.73       11.700       0.0000    
           0.042126   412.87       12.308       0.0000       411.99       11.823       0.0000       412.72       11.813       0.0000    
           0.042126   412.87       12.308       0.0000       411.99       11.823       0.0000       412.72       11.813       0.0000    
           0.042270   412.86       12.350       0.0000       411.99       11.865       0.0000       412.72       11.855       0.0000    
           0.042874   412.86       12.523       0.0000       411.98       12.037       0.0000       412.72       12.033       0.0000    
           0.042874   412.86       12.523       0.0000       411.98       12.037       0.0000       412.72       12.033       0.0000    
           0.043084   412.86       12.583       0.0000       411.98       12.097       0.0000       412.71       12.095       0.0000    
           0.043568   412.86       12.722       0.0000       411.98       12.236       0.0000       412.71       12.238       0.0000    
           0.043568   412.86       12.722       0.0000       411.98       12.236       0.0000       412.71       12.238       0.0000    
           0.043900   412.85       12.817       0.0000       411.97       12.330       0.0000       412.71       12.336       0.0000    
           0.044318   412.85       12.937       0.0000       411.97       12.450       0.0000       412.70       12.460       0.0000    
           0.044318   412.85       12.937       0.0000       411.97       12.450       0.0000       412.70       12.460       0.0000    
           0.044408   412.85       12.962       0.0000       411.97       12.475       0.0000       412.70       12.486       0.0000    
           0.044704   412.85       13.047       0.0000       411.97       12.560       0.0000       412.70       12.573       0.0000    
           0.044704   412.85       13.047       0.0000       411.97       12.560       0.0000       412.70       12.573       0.0000    
           0.045273   412.84       13.210       0.0000       411.96       12.723       0.0000       412.69       12.742       0.0000    
           0.045273   412.84       13.210       0.0000       411.96       12.723       0.0000       412.69       12.742       0.0000    
           0.045432   412.84       13.255       0.0000       411.96       12.768       0.0000       412.69       12.788       0.0000    
           0.046029   412.84       13.427       0.0000       411.96       12.939       0.0000       412.69       12.965       0.0000    
           0.046029   412.84       13.427       0.0000       411.96       12.939       0.0000       412.69       12.965       0.0000    
           0.046081   412.84       13.441       0.0000       411.96       12.953       0.0000       412.69       12.980       0.0000    
           0.046552   412.84       13.576       0.0000       411.95       13.088       0.0000       412.68       13.119       0.0000    
           0.046552   412.84       13.576       0.0000       411.95       13.088       0.0000       412.68       13.119       0.0000    
           0.046690   412.83       13.616       0.0000       411.95       13.127       0.0000       412.68       13.160       0.0000    
           0.047267   412.83       13.780       0.0000       411.95       13.292       0.0000       412.67       13.330       0.0000    
           0.047267   412.83       13.780       0.0000       411.95       13.292       0.0000       412.67       13.330       0.0000    
           0.047512   412.83       13.851       0.0000       411.95       13.362       0.0000       412.67       13.403       0.0000    
           0.048002   412.82       13.991       0.0000       411.94       13.502       0.0000       412.67       13.548       0.0000    
           0.048002   412.82       13.991       0.0000       411.94       13.502       0.0000       412.67       13.548       0.0000    
           0.048273   412.82       14.068       0.0000       411.94       13.580       0.0000       412.66       13.628       0.0000    
           0.048656   412.82       14.178       0.0000       411.94       13.689       0.0000       412.66       13.741       0.0000    
           0.048656   412.82       14.178       0.0000       411.94       13.689       0.0000       412.66       13.741       0.0000    
           0.048880   412.82       14.242       0.0000       411.93       13.753       0.0000       412.66       13.807       0.0000    
           0.049237   412.81       14.344       0.0000       411.93       13.855       0.0000       412.66       13.913       0.0000    
           0.049237   412.81       14.344       0.0000       411.93       13.855       0.0000       412.66       13.913       0.0000    
           0.049386   412.81       14.386       0.0000       411.93       13.898       0.0000       412.65       13.957       0.0000    
           0.049791   412.81       14.502       0.0000       411.93       14.013       0.0000       412.65       14.077       0.0000    
           0.049791   412.81       14.502       0.0000       411.93       14.013       0.0000       412.65       14.077       0.0000    
           0.050295   412.81       14.646       0.0000       411.92       14.157       0.0000       412.64       14.226       0.0000    
           0.050295   412.81       14.646       0.0000       411.92       14.157       0.0000       412.64       14.226       0.0000    
           0.050652   412.80       14.748       0.0000       411.92       14.259       0.0000       412.64       14.331       0.0000    
           0.051255   412.80       14.920       0.0000       411.91       14.431       0.0000       412.63       14.510       0.0000    
           0.051255   412.80       14.920       0.0000       411.91       14.431       0.0000       412.63       14.510       0.0000    
           0.051412   412.80       14.965       0.0000       411.91       14.477       0.0000       412.63       14.557       0.0000    
           0.051684   412.79       15.042       0.0000       411.91       14.554       0.0000       412.63       14.637       0.0000    
           0.051684   412.79       15.042       0.0000       411.91       14.554       0.0000       412.63       14.637       0.0000    
           0.051750   412.79       15.061       0.0000       411.91       14.573       0.0000       412.63       14.657       0.0000    
           0.052220   412.79       15.195       0.0000       411.90       14.707       0.0000       412.62       14.796       0.0000    
           0.052220   412.79       15.195       0.0000       411.90       14.707       0.0000       412.62       14.796       0.0000    
           0.052383   412.79       15.242       0.0000       411.90       14.754       0.0000       412.62       14.844       0.0000    
           0.052947   412.78       15.402       0.0000       411.90       14.915       0.0000       412.62       15.011       0.0000    
           0.052947   412.78       15.402       0.0000       411.90       14.915       0.0000       412.62       15.011       0.0000    
           0.053011   412.78       15.420       0.0000       411.90       14.933       0.0000       412.62       15.030       0.0000    
           0.053476   412.78       15.553       0.0000       411.89       15.066       0.0000       412.61       15.168       0.0000    
           0.053476   412.78       15.553       0.0000       411.89       15.066       0.0000       412.61       15.168       0.0000    
           0.053615   412.78       15.593       0.0000       411.89       15.106       0.0000       412.61       15.209       0.0000    
           0.054179   412.77       15.753       0.0000       411.89       15.267       0.0000       412.60       15.376       0.0000    
           0.054179   412.77       15.753       0.0000       411.89       15.267       0.0000       412.60       15.376       0.0000    
           0.054340   412.77       15.799       0.0000       411.88       15.313       0.0000       412.60       15.424       0.0000    
           0.054829   412.77       15.939       0.0000       411.88       15.453       0.0000       412.59       15.569       0.0000    
           0.054829   412.77       15.939       0.0000       411.88       15.453       0.0000       412.59       15.569       0.0000    
           0.055168   412.76       16.035       0.0000       411.88       15.550       0.0000       412.59       15.669       0.0000    
           0.055635   412.76       16.168       0.0000       411.87       15.683       0.0000       412.59       15.808       0.0000    
           0.055635   412.76       16.168       0.0000       411.87       15.683       0.0000       412.59       15.808       0.0000    
           0.055943   412.75       16.256       0.0000       411.87       15.771       0.0000       412.58       15.899       0.0000    
           0.055943   412.75       16.256       0.0000       411.87       15.771       0.0000       412.58       15.899       0.0000    
           0.056151   412.75       16.315       0.0000       411.87       15.831       0.0000       412.58       15.961       0.0000    
           0.056762   412.75       16.488       0.0000       411.86       16.005       0.0000       412.57       16.142       0.0000    
           0.056762   412.75       16.488       0.0000       411.86       16.005       0.0000       412.57       16.142       0.0000    
           0.057165   412.74       16.603       0.0000       411.86       16.120       0.0000       412.57       16.262       0.0000    
           0.057585   412.74       16.723       0.0000       411.85       16.241       0.0000       412.56       16.387       0.0000    
           0.057585   412.74       16.723       0.0000       411.85       16.241       0.0000       412.56       16.387       0.0000    
           0.057775   412.74       16.776       0.0000       411.85       16.295       0.0000       412.56       16.443       0.0000    
           0.058000   412.73       16.840       0.0000       411.85       16.359       0.0000       412.56       16.510       0.0000    
           0.058000   412.73       16.840       0.0000       411.85       16.359       0.0000       412.56       16.510       0.0000    
           0.058327   412.73       16.933       0.0000       411.85       16.452       0.0000       412.55       16.607       0.0000    
           0.058765   412.73       17.058       0.0000       411.84       16.578       0.0000       412.55       16.737       0.0000    
           0.058765   412.73       17.058       0.0000       411.84       16.578       0.0000       412.55       16.737       0.0000    
           0.058859   412.72       17.084       0.0000       411.84       16.605       0.0000       412.55       16.765       0.0000    
           0.059161   412.72       17.170       0.0000       411.84       16.691       0.0000       412.54       16.855       0.0000    
           0.059161   412.72       17.170       0.0000       411.84       16.691       0.0000       412.54       16.855       0.0000    
           0.059285   412.72       17.205       0.0000       411.84       16.727       0.0000       412.54       16.892       0.0000    
           0.059820   412.71       17.357       0.0000       411.83       16.879       0.0000       412.54       17.051       0.0000    
